year,variant,mode,num_days,top1_mean,top1_cum,top1_sharpe,top3_mean,top5_mean,ic,rank_ic,unique,max_rep
2021,headreg_lossstop_fullyear,debias015,242,0.003245951320000001,0.8528078287513794,1.3693713848931486,0.004080565945853994,0.002886516362173553,0.008355862228644265,0.009822668309604503,128,11
2021,headreg_lossstop_fullyear,raw,242,0.005042465456900825,1.4769842584340367,1.4345108104030049,0.002499979278898071,0.0016996703197636367,0.007792441751568595,0.009047314309005738,119,10
2021,stage2topheavy_lossstop_fullyear,debias015,242,0.007751512068347107,3.620142664404873,2.1226437019025326,0.0012263626232093662,0.0024876458372066115,0.009982441504598873,0.010073888232914918,127,14
2021,stage2topheavy_lossstop_fullyear,raw,242,0.005048497642314048,1.425814091073954,1.394129783526427,0.002520667771280991,0.0016073982993057854,0.010174188327937041,0.009208724171364969,133,11
2021,stage2topheavy_topk_lossstop_fullyear,debias015,242,0.003857627812603306,0.7185388863409501,0.9989850781037383,0.0032136958961432502,0.003254435047636364,0.008954708242942972,-0.007423217736365619,139,11
2021,stage2topheavy_topk_lossstop_fullyear,raw,242,0.00651396042892562,2.0378552941428727,1.5576353925488662,0.004467524629517906,0.0039195582393140495,0.009288169502645842,-0.008627646081312558,131,11
2022,headreg_lossstop_fullyear,debias015,241,-0.0010017194576763492,-0.4094208739894123,-0.3268469823414602,0.0010570674880082983,0.0003744159761908713,0.027514788681036004,0.024900759706963753,142,17
2022,headreg_lossstop_fullyear,raw,241,-0.0011371892522821587,-0.4325466131447878,-0.3663568328805944,0.000627882698934993,0.00012063944681327778,0.02751296450880014,0.024230197823060306,137,19
2022,stage2topheavy_lossstop_fullyear,debias015,241,-0.0024198760580912866,-0.5929595632458837,-0.7395531486347221,-0.0003225388893499309,0.0013537586144813276,0.02160698180269212,0.014725462745103033,98,16
2022,stage2topheavy_lossstop_fullyear,raw,241,-0.002444038920331951,-0.6116581543001585,-0.7015302533551879,-0.0002567356044951587,0.00090781121406639,0.021430496653254433,0.012996922521675214,96,23
2022,stage2topheavy_topk_lossstop_fullyear,debias015,241,0.002939899504564315,0.29794518978320417,0.7594424704151811,0.0004364045568879668,0.0008396787472199173,0.017405889095236007,0.012930827987727458,104,40
2022,stage2topheavy_topk_lossstop_fullyear,raw,241,-5.3884659336100136e-05,-0.40546493005058315,-0.013130102782872476,0.0021812060032226836,0.000756093929211618,0.01738308244273103,0.010789553073114523,92,47
2023,headreg_lossstop_fullyear,debias015,241,-0.0015208091502074683,-0.6497897397645177,-0.2923318700013787,0.0019043045374965424,-0.00024559714885477195,0.019111510339653533,0.011197038947835237,112,11
2023,headreg_lossstop_fullyear,raw,241,-0.0006095590526970948,-0.5711788364292614,-0.11589585438456115,0.002085242273900415,3.520671819917027e-05,0.019872655278441727,0.012224475455307639,112,12
2023,stage2topheavy_lossstop_fullyear,debias015,241,0.00234235414033195,0.3257386812745877,0.7760612323950457,0.0028415030475656988,0.0016573175597095436,0.01707687181301271,0.027041798111450757,163,15
2023,stage2topheavy_lossstop_fullyear,raw,241,0.003690064426846473,0.8197215694143536,1.2058805661452001,0.0024537063130013834,0.001416185507634855,0.01809106560809093,0.030515529169276284,155,15
2023,stage2topheavy_topk_lossstop_fullyear,debias015,241,0.010401944272614108,4.28228548684719,1.875107326092087,0.004652231617247579,0.003928834885286307,0.012099762418445953,-0.001083837433732827,92,29
2023,stage2topheavy_topk_lossstop_fullyear,raw,241,0.013247759599999999,7.045158481451157,1.967404490452837,0.005307828852932226,0.0038772402061991703,0.012698778246789767,-9.70647412954563e-05,78,38
2024,headreg_lossstop_fullyear,debias015,241,0.006023248233609959,-0.33517882854450964,0.8140505748850064,0.009076709711950206,0.004819396210821577,0.04112927419411377,0.04282439686310286,151,8
2024,headreg_lossstop_fullyear,raw,241,0.01950189836099585,1.4505065713716343,1.2589608826204797,0.007528726126417703,0.005194771882232365,0.04092869355706326,0.041754349774630196,144,9
2024,stage2topheavy_lossstop_fullyear,debias015,241,0.006684549259211619,-0.1673177263610781,0.9290457943393137,0.008929966086127247,0.013311329107468881,0.041276050815583144,0.048312142834582,146,12
2024,stage2topheavy_lossstop_fullyear,raw,241,0.006098923783692946,-0.6041359358641873,0.773352608110299,0.009147135034951591,0.012534825452921164,0.04137251793537162,0.04766150766475063,145,9
2024,stage2topheavy_topk_lossstop_fullyear,debias015,241,0.05396099693692946,14.923196200263915,1.6335243701581392,0.02225796453824343,0.013047664203692945,0.036804416369362346,0.022232946455197543,92,31
2024,stage2topheavy_topk_lossstop_fullyear,raw,241,0.05528936766721992,16.48006842600556,1.6698338794768843,0.021940046867427385,0.014201861369087136,0.036167737841227454,0.018469543926987485,82,42
