code,pick_count,mean_true,mean_pred
SH600198,7,0.021992371571428578,0.004150528514285714
SH600532,4,-0.047385890374999996,0.004030776125
SH600781,2,-0.0575810185,0.00393827145
SZ000796,2,0.0022255195,0.00324083515
SZ002781,2,-0.047947456,0.00440013385
SZ002785,2,-0.0031334761500000003,0.0047551407
SH600112,1,-0.021196064,0.004154305
SH600139,1,0.0,0.0033726785
SH600311,1,-0.023255814,0.0031741732
SH600452,1,-0.009841119,0.0023347295
SH600595,1,0.074982956,0.0029628803
SH600734,1,0.055820156,0.0071720695
SH603309,1,0.010325246,0.0028680176
SH603633,1,-0.015401146,0.0030127878
SH603833,1,0.036033094,0.002912565
SZ000584,1,,
SZ000913,1,-0.011330409,0.0030565143
SZ002319,1,0.0064992616,0.0027539397
SZ002417,1,-0.033797216,0.0030433338
SZ002751,1,-0.015473888,0.0026635015
