date,code,pred,true,tradable
2024-08-28,SH600198,15.634492671980274,0.14159292,True
2024-08-28,SZ000889,13.085011707035207,1.5227075e-12,True
2024-08-28,SZ000793,9.404390853854967,0.042721517,True
2024-08-28,SH600811,7.272730489398038,-0.009648784,True
2024-08-28,SH600868,6.926442477981658,0.06569768,True
2024-08-28,SZ000816,5.301423878840233,0.036427733,True
2024-08-28,SH600653,5.182143110779418,0.020154832,True
2024-08-28,SZ300125,5.055573531384162,-0.012430939,True
2024-08-28,SZ000826,5.034527243474818,0.061349694,True
2024-08-28,SZ300147,4.57290906982962,0.039518252,True
2024-08-28,SH600187,4.233217695297941,0.057939913,True
2024-08-28,SH600165,3.9488021445522534,0.104462475,True
2024-08-28,SZ300117,3.8892845102624394,0.07302406,True
2024-08-28,SZ000659,3.589690577979141,0.008191126,True
2024-08-28,SZ000890,3.5151781299566816,0.04347826,True
2024-08-28,SZ300108,3.424412215588969,0.022222223,True
2024-08-28,SH600094,3.4098156593718727,0.12132823,True
2024-08-28,SZ300338,3.3031533608226793,0.012145749,True
2024-08-28,SZ300013,3.2374583944835296,0.021297192,True
2024-08-28,SZ300460,3.2165470075210303,0.0703125,True
