quantile,threshold,fallback_source,num_days,switch_count,switch_rate,active_selector_rate,fallback_rate,left_usage_rate,right_usage_rate,mean_return,cumulative_return,sharpe,alpha_vs_left_mean,alpha_vs_right_mean,active_day_mean_return,fallback_day_mean_return,top1_positive_share,top5_positive_share,top10_positive_share,bottom1_negative_share,bottom5_negative_share,bottom10_negative_share
0.8,0.025040923759999993,left,1372,210,0.15317286652078774,0.20043731778425655,0.7995626822157434,0.8440233236151603,0.15597667638483964,0.01756685406252726,355.3073624621869,1.1233014743965788,0.009363575684758518,0.003262584061452657,0.05803092076951952,0.007423172800519175,0.11535124950989815,0.2523682070313848,0.3193227454771164,0.0238924721856962,0.09063406909913331,0.149529316608927
0.7,0.015202051799999998,left,1372,350,0.2552881108679796,0.30029154518950435,0.6997084548104957,0.7572886297376094,0.24271137026239067,0.017018063203593625,267.2141223528768,1.1023196451128545,0.008814784825824882,0.0027137932025190193,0.04382283676951985,0.00551434788155029,0.11548552741929105,0.24279365641078043,0.3055657987719844,0.02344389138195118,0.08893241582327387,0.14672190595227536
0.6,0.0101240212,left,1372,450,0.3282275711159737,0.4001457725947522,0.5998542274052479,0.6676384839650146,0.3323615160349854,0.015846400648217032,79.02903440457055,1.042509586279919,0.0076431222704482875,0.0015421306471424252,0.035769093041426045,0.002556536585189391,0.11623353835703408,0.22819463169290163,0.29137335529524483,0.022681774797028133,0.0860413911238347,0.14195225418772933
0.6,0.0101240212,right,1372,142,0.10357403355215171,0.4001457725947522,0.5998542274052479,0.06778425655976676,0.9322157434402333,0.01571660026198433,50.43056203819066,1.0319596785907355,0.0075133218842155835,0.0014123302609097242,0.035769093041426045,0.0023401500360870015,0.10926938345292589,0.21452230625345922,0.2739156644266003,0.020520952583766256,0.08131061476447794,0.129960390650429
0.5,0.0072537504999999995,right,1372,180,0.13129102844638948,0.5,0.5,0.08236151603498543,0.9176384839650146,0.015685360108451,49.677687837226266,1.0302547760328284,0.007482081730682253,0.0013810901073763938,0.026948507744958827,0.004422212471943176,0.10970804623626046,0.2153835077078358,0.27501530097582705,0.02062492544496876,0.08172258868375326,0.13061885684997615
0.7,0.015202051799999998,right,1372,122,0.08898614150255288,0.30029154518950435,0.6997084548104957,0.0575801749271137,0.9424198250728864,0.015106370736037336,22.87564135390664,0.9927417846135174,0.006903092358268588,0.0008021007349627288,0.04382283676951985,0.00278222073000109,0.11059745359496953,0.21712963010516098,0.2772448606192349,0.020482060471693757,0.08115651170667908,0.12971408463429596
0.0,2.2744999999988955e-06,right,1372,484,0.3530269876002918,1.0,0.0,0.239067055393586,0.760932944606414,0.014907313056029086,9.920655979103119,0.9749852884989778,0.0067040346782603405,0.0006030430549544802,0.014907313056029086,0.0,0.11016601030640213,0.2162826022703153,0.2761633218449153,0.02023079831573649,0.08046005695561914,0.13226099914698752
0.0,2.2744999999988955e-06,left,1372,484,0.3530269876002918,1.0,0.0,0.239067055393586,0.760932944606414,0.014907313056029086,9.920655979103119,0.9749852884989778,0.0067040346782603405,0.0006030430549544802,0.014907313056029086,0.0,0.11016601030640213,0.2162826022703153,0.2761633218449153,0.02023079831573649,0.08046005695561914,0.13226099914698752
0.8,0.025040923759999993,right,1372,94,0.06856309263311451,0.20043731778425655,0.7995626822157434,0.04446064139941691,0.9555393586005831,0.014857587253806544,17.7076064420464,0.977826997866529,0.006654308876037798,0.000553317252731936,0.05803092076951952,0.004034737010578582,0.11150930960639344,0.21891982465335305,0.27953069437556954,0.020565405130002847,0.0814867500509657,0.13024191122072082
0.5,0.0072537504999999995,left,1372,533,0.3887673231218089,0.5,0.5,0.5823615160349854,0.4176384839650146,0.014699658173788861,8.307987164848305,0.9617781244884092,0.006496379796020115,0.00039538817271425326,0.026948507744958827,0.002450808602618896,0.11500946613919975,0.22579148099420904,0.28830486031285407,0.021425930979658333,0.085213227873935,0.1400743062531411
0.95,0.15001443300000003,right,1372,8,0.005835156819839533,0.05029154518950437,0.9497084548104956,0.0036443148688046646,0.9963556851311953,0.014366479138829708,9.079041047383626,0.9464148309813347,0.006163200761060962,6.220913775510206e-05,0.02622604293667973,0.013738459260048703,0.11248279649978783,0.22083101557325466,0.281971023960934,0.020497100975839195,0.08121610702192777,0.1298093370250581
0.9,0.07548588720000005,right,1372,38,0.027716994894237783,0.10058309037900874,0.8994169096209913,0.016034985422740525,0.9839650145772595,0.014154876068494956,6.605496042618929,0.9325349145364389,0.0059515976907262135,-0.00014939393257964843,0.04873477746037407,0.010287755815594376,0.11288515793081384,0.22162094866707804,0.2829796605546109,0.02046187408455218,0.08107652674781055,0.1295862430661216
0.9,0.07548588720000005,left,1372,106,0.07731582786287382,0.10058309037900874,0.8994169096209913,0.9154518950437318,0.08454810495626822,0.013553247265933006,322.00443450585607,1.2723303829822636,0.0053499688881642644,-0.0007510227351415969,0.04873477746037407,0.009618845996214315,0.06367485425835002,0.19154772225487834,0.2677226217294715,0.02227843429894732,0.08286896222308374,0.14218213368697016
0.95,0.15001443300000003,left,1372,66,0.04814004376367615,0.05029154518950437,0.9497084548104956,0.9533527696793003,0.04664723032069971,0.010170709990619255,19.100950456768143,1.0039478001757305,0.0019674316128505103,-0.00413356001045535,0.02622604293667973,0.009320504331925342,0.07089218345943052,0.21325900821434796,0.29510028430869667,0.020038087359226235,0.07448813297011271,0.1319779116966628
